ID,rootId,lemmaId,rootValue,lemmaValue,lemmaValueUV,lemmaTagValue,citation,meaning,meaningHead,authorName,source,additionalTag,DateHijri,DateSolar,headCitation,quranicReading,referenceSourceReadingQuran,referenceSourceReadingQuranStr,referenceSourceAyahNbr,referenceSourcePage,referenceSourcePart,referenceSourceHaditNbr,remarks,newFormValue,semanticFieldValue,quranic,ismeaning,issemantic,isnewform,istool,newformtype,MeaningCount,isContainCarving,isContainEtymological,isDeathDate,verbaldate,referencesourcelastseen,CreatedDate,remarksargument
229691,6,40677,ركب,رَكِبَ,ركب,رَكِبَ [مُتَعَدٍّ],فَلَقَدْ وَجَدْتُ بِجانِبِ الضْـ***ـضِحْيَانِ شُبَّانًا مُهَابَهْ فِتْيَانَ حَرْبٍ فِي الحَدِيـ***ـدِ، وَشَامِرِينَ كَأُسْدِ غَابَهْ هُمْ نَكَّبُوكَ عَنِ الطَّرِيـ***ـقِ، فَبِتَّ تَرْكَبُ كُلَّ لَابَهْ,رَكِبَ الشَّيْءَ: اعْتَلَاهُ وَامْتَطَاهُ.,ركب الشيء,أُحَيحة بن الجُلاح الأوسيّ,الشُّعراء الجاهليون الأوائل: تحقيق: عادل الفريجات، دار المشرق، بيروت، ط2، (2008م).,مُتَعَدٍّ,-129,496,,,,,,440,,,في هامش البيت بالمصدر: نكَّب: عدل ومال عن الشيء. واللابة: الأرض التي ألبست حجارة سُودا.,,,0,True,False,False,False,0,0,True,True,True,قبل 100ق.هـ=525م,,2024-09-15T10:35:53.05+03:00,التاريخ التقريبي لوفاة المستعمل هو: 129 ق.هـ = 496م
283076,6,40677,ركب,رَكِبَ,ركب,رَكِبَ [مُتَعَدٍّ],أَلَسْتُ أَرُدُّ القِرْنَ يَرْكَبُ رَدْعَهُ ***وَفِيهِ سِنَانٌ ذُو غِرَارَيْنِ يَابِسُ؟,رَكِبَ رَدْعَهُ: خَرَّ عَلَى وَجْهِهِ فَوْقَ دَمِهِ قَتِيلًا.,ركب ردعه,الهُذلول بن كعب العَنْبريّ,شرح ديوان الحماسة: أبو عليّ المرزوقيّ (ت، 421هـ)، نشره: أحمد أمين، عبد السلام هارون، دار الجيل، بيروت، ط1، (1411هـ/ 1991م).,مُتَعَدٍّ,-17,605,قَالَ يَفْخَرُ بِشَجَاعَتِهِ:,,,,,697,2,,"في اللسان (ردع): "" يقال: ركب فلان ردْع المنية: إذا كانت في ذلك منيته. ويقال للقتيل: ركب ردْعه: إذا خرَّ لوجهه على دمه"".",,,0,True,False,False,False,0,0,True,True,True,قبل 13ق.هـ=609م,,2024-09-15T10:36:07.733+03:00,ونُسِبَ إلى (نُعَيْم بن الحرث السّعديّ). | التاريخ التقريبي لوفاة المستعمل هو: 17 ق.هـ = 605م
339607,6,40677,ركب,رَكِبَ,ركب,رَكِبَ [مُتَعَدٍّ],وَمَا أَنَا كَالعَشْوَاءِ تَرْكَبُ رَأْسَهَا *** وَتُبْرِزُ جَنْبًا لِلْمُعَادِينَ مُصْحِرَا,رَكِبَ رَأْسَهُ: مَضَى عَلَى وَجْهِهِ بِغَيْرِ رَوِيَّةٍ، لَا يُطِيعُ مُرْشِدًا.,ركب راسه,زياد/زيادة بن زيد العُذْريّ,منتهى الطلب من أشعار العرب: جمع: ابن ميمون البغدادي (ت، 597هـ)، تحقيق وشرح: محمّد نبيل طريفي، دار صادر، بيروت، ط1، (1999م).,مُتَعَدٍّ,54,674,,,,,,193,8,,"في هامش البيت بالمصدر: العشواء: الناقة التي لا تبصر أمامها. وتركب رأسها: ركب الشخص رأسه، إذا مضى على وجهه لغير قصد، أي: هي عشواء تبرز جنبا مكشوفا لأعدائها فيرمونها. وفي تاج العروس (ركب): "" وفي الأساس: ومن المجاز: ركِبَ رأسَهُ: مضى على وجهه بغير رويَّة، لا يُطيع مرشدا"".",,,0,True,False,False,False,0,0,True,True,True,ن54هـ=674م,,2024-09-15T10:36:17.59+03:00,التّعريفُ مُقتَبس من: (تاج العروس (ركب).
391368,6,40677,ركب,رَكِبَ,ركب,رَكِبَ [مُتَعَدٍّ],"""فَلَمَّا قَدِمْتُ المَدِينَةَ رَكِبَنِي النَّاسُ، كَأَنَّهُمْ لَمْ يَرَوْنِي قَبْلَ يَوْمِئِذٍ، فَشَكَوْتُ ذَلِكَ إِلَى عُثْمَانَ""",رَكِبَهُ الشَّخْصُ: تَبِعَهُ وَلَحِقَهُ.,ركبه الشخص,أبو ذَرّ الغِفاريّ (جُنْدَب بن جُنادة),تفسير الطّبريّ جامع البيان عن تأويل آي القرآن: الطّبريّ (ت، 310هـ)، تحقيق: عبد الله بن عبد المحسن التركي، مركز البحوث والدراسات العربية والإسلامية، دار هجر، القاهرة، ط1، (1422هـ/ 2001م).,مُتَعَدٍّ,32,653,,,,,,434,11,,"في اللسان، وتاج العروس (ركب):"" وَفِي حَدِيثِ أَبي هُرَيْرَةَ، رَضِيَ اللَّهُ عَنْهُ: (فإِذا عُمَرُ قَدْ رَكِبني) أَي: تَبعَني، وجاءَ عَلَى أَثَري؛ لأَنَّ الراكبَ يَسير بِسَيْرِ المَرْكُوبِ؛ يقال: ركِبتُ أَثَره وطريقَه، إِذا تَبِعْتَه مُلْتَحِقًا بِهِ"".",,,0,True,False,False,False,0,0,True,True,True,ن32هـ=653م,,2024-09-15T10:36:29.13+03:00,
420329,6,40677,ركب,رَكِبَ,ركب,رَكِبَ [مُتَعَدٍّ],"""أَتَى رَجُلٌ عُمَرَ $s5 وَهُوَ يَنْهَجُ، قَدْ رَكِبَهُ اللَّحْمُ، قَالَ: مَا هَذَا؟ قَالَ: بَرَكَةُ اللهِ يَا أَمِيرَ الْمُؤْمِنِينَ""",رَكِبَهُ اللَّحْمُ وَنَحْوُهُ: أَثْقَلَهُ بِكَثْرَتِهِ.,ركبه اللحم ونحوه,الحسن البصري,الزّهد: أحمد ابن حَنْبَل (ت، 241هـ)، وضع حواشيه: محمّد عبد السّلام شاهين، دار الكتب العلميّة، بيروت، ط1، (1420هـ/ 1999م).,مُتَعَدٍّ,110,728,,,,,,323 - 324,,,ورد أيضا: ركبه الدين، والمعنى مجازي، ولكنه شائع وسياقاته كثيرة.,,,0,True,False,False,False,0,0,True,True,True,ن110هـ=728م,,2024-09-15T10:36:34.197+03:00,
420333,6,40677,ركب,رَكِبَ,ركب,رَكِبَ [مُتَعَدٍّ],"""يَا بَنِي قَحْطَانَ، إِنَّكُمْ إِلَّا تُقَاتِلُوا النَّاسَ قَاتَلُوكُمْ، وَإِلَّا تَغْزُوهُمْ غَزَوْكُمْ، وَلَمْ يُغْزَ قَوْمٌ قَطُّ فِي عُقْرِ دَارِهِمْ إِلَّا رَكِبَتْهُمُ الذِّلَّةُ""",رَكِبَهُ الذُّلُّ وَنَحْوُهُ: غَشِيَهُ وَغَلَبَهُ.,ركبه الذل ونحوه,عبد شمس بن عبد مناف بن قصيّ القُرَشِيّ,كتاب التيجان في ملوك حِمْيَر: وهب بن مُنَبِّه الصَّنْعانيّ (ت، 114هـ)، رواية: أبي محمد عبد الملك بن هشام عن أسد بن موسى عن أبي إدريس بن سنان عن جده لأمه وهب بن منبه: تحقيق ونشر: مركز الدراسات والأبحاث اليمنية، صنعاء، ط1، (1347هـ).,مُتَعَدٍّ,-122,503,,,,,,56,,,,,,0,True,False,False,False,0,0,True,True,True,قبل 100ق.هـ=525م,,2024-09-15T10:36:34.197+03:00,التاريخ التقريبي لوفاة المستعمل هو: 122 ق.هـ = 503م
420334,6,40677,ركب,رَكِبَ,ركب,رَكِبَ [مُتَعَدٍّ],"""كُنْتُ نَائِمَةً، فَمَا أَيْقَظَنِي إِلَّا الرَّجُلُ، وَقَدْ رَكِبَنِي """,رَكِبَ المَرْأَةَ: وَطِئَهَا.,ركب المراة,امرأة من المسلمين,التّبصرة: عليّ بن محمّد اللَّخْميّ (ت، 478هـ)، دراسة وتحقيق: أحمد عبد الكريم نجيب، وزارة الأوقاف والشؤون الإسلامية، الدّوحة، ط1، د.ت.,مُتَعَدٍّ,23,644,قَالَتْ حِينَ ظَهَرَ بِهَا حَمْلٌ، وَادَّعَتْ أَنَّهَا اسْتُكْرِهَتْ:,,,,,6207,13,,الظاهر أن المعنى هنا أخص من المعنى السابق: (رَكِبَ الشيءَ: اعتلاه وامتطاه).,,,0,True,False,False,False,0,0,True,True,False,23هـ=644م,,2024-09-15T10:36:34.197+03:00,تاريخ استعمال الشّاهد، مرتبط بـ (بوفاة عمر بن الخطّاب؛ لأنّه قيل في خلافته).
420339,6,40677,ركب,رَكِبَ,ركب,رَكِبَ [مُتَعَدٍّ],"""إِنِّي أَخَافُ أَنْ تَفْعَلَ بِهِ قُرَيْشٌ مَا فَعَلَتْ ثَقِيفُ بِعُرْوَةَ بْنِ مَسْعُودٍ، دَعَاهُمْ إِلَى اللهِ فَقَتَلُوهُ، أَمَا- وَاللهِ- لَئِنْ رَكِبُوهَا مِنْهُ لأَضْرِمَنَّهَا عَلَيْهِمْ نَارًا""",رَكِبَ الجَرِيمَةَ وَنَحْوَهَا: اقْتَرَفَهَا.,ركب الجريمة ونحوها,حديث نبويّ,الكتاب المصنف في الأحاديث والآثار: أبو بكر بن أبي شيبة،(المتوفى: 235هـ)، تحقيق: كمال يوسف الحوت، مكتبة الرشد - الرياض، ط1، 1409هـ,مُتَعَدٍّ,8,629,قَالَ يَتَوَعَّدُ مُشْرِكِي قُرَيْشٍ حِينَ خَشِيَ أَنْ يُصِيبُوا عَمَّهُ العَبَّاسَ بِمَكْرُوهٍ:,,,,,402,7,36902,ورد هذا المعنى في عدد من السياقات.,,,0,True,False,False,False,0,0,True,True,False,8هـ=629م,,2024-09-15T10:36:34.247+03:00,تاريخ استعمال الشّاهد، مرتبط بـ (بفتح مكّة؛ لأنّه قيل حينذاك).
420343,6,40677,ركب,رَكِبَ,ركب,رَكِبَ [مُتَعَدٍّ],"""إِنَّ قَيْسًا لَا تَنْفَكُّ تَبْغِي دِينَ اللهِ سِرًّا؛ حَتَّى يَرْكَبَهَا اللهُ بِجُنُودِهِ""",رَكِبَهُ بِالجُنُودِ وَنَحْوِهِمْ: أَخْضَعَهُ وَأَذَلَّهُ بِهِمْ.,ركبه بالجنود ونحوهم,حذيفة بن اليَمان العبسيّ,كتاب الفتن: أبو عبد الله نعيم بن حماد الخزاعي المروزي، تح: سمير أمين الزهيري، الناشر: مكتبة التوحيد - القاهرة، ط.1، 1412هـ.,مُتَعَدٍّ,36,656,,,,,,388,1,,"- لفظ الشاهد غير مضبوط في المصدر، وضُبِطَ بقرينة السياق. - ورد لفظ الشاهد بهذا المعنى في عدة سياقات، ومنها ما جاء في كتاب الاستقصا حيث يقول:"" ثم انهزم الفرنج، ورَكِبَهُمُ المسلمون بالسيف حتى أدخلوهم المدينة"".",,,0,True,False,False,False,0,0,True,True,True,ن36هـ=656م,,2024-09-15T10:36:34.247+03:00,
419873,6,163,ركب,رَكُوب,ركوب,رَكُوب [اسْم],"""هِيَ أَرْكَابُ الرِّجَالِ، وَأَرْقَاءُ الدِّمَاء، وَمُهُورُ النِّسَاء""",الرَّكُوبُ: مَا يُرْكَبُ مِنَ الدَّوَابِّ وَغَيْرِهَا.,الركوب,منسوب إلى هند بنت الخُسّ الإياديّة,المزهر في علوم اللغة وأنواعها: جلال الدّين السَّيوطي (ت، 911هـ)، شرحه وضبطه وصححه وعنون موضوعاته وعلق حواشيه: محمد أحمد جاد المولى بك وآخرون، المكتبة العصرية، صيدا- بيروت، (1406ه/ 1986م).,اسْم,-202,426,قَالَتْ تَصِفُ الإِبِلَ لِأَبِيهَا حِينَ سَأَلَهَا عَنْهَا:,,,,,540,2,,"- الظاهر أن لفظ الشاهد جمع (رُكُب) الذي هو جمع (رَكُوب) فهو جمع الجمع. تقول: رُكُب وأركاب، على زنة: عُنُق وأعناق. - قال الخليل في العين:"" والرَّكُوب والرَّكُوبة: اسم ما يُركب، كالحَمُول والحَمُولَة"". وفي تاج العروس (ركب):""والرَّكُوبُ والرَّكُوبَةُ، بِهَاءٍ، منَ الإِبِلِ: الَّتِي تُرْكَبُ. وقيلَ الرَّكُوبُ: كُلّ دَابَّةٍ تُرْكَبُ. والرَّكُوبَةُ: اسْمٌ لجَمِيعِ مَا يُرْكَبُ، اسْمٌ للوَاحِد والجَمِيعِ، أَو الرَّكُوبُ: المَرْكُوبَةُ والرَّكُوبَةُ: المُعَيَّنَةُ للرُّكُوبِ. وقيلَ: هِيَ اللاَّزِمَةُ لِلْعَمَلِ مِنْ جَمِيعِ الدَّوَابّ، يقالُ: مَالَهُ رَكُوبَةٌ، وَلا حَمُولَةٌ، ولا حَلُوبَةٌ، أَي: مَا يَرْكَبُهُ ويَحْلُبُهُ ويَحْمِلُ عَلَيْهِ"". - ورد لفظ الشاهد بهذا المبنى والمعنى- أيضا- في كتاب الرحلة الناصرية، ص 315، حيث قال:"" ""أَرَحْنَا أَرْكَابَنَا، وَنَزَلْنَا لِصَلَاةِ الظُّهْر، وَإِرَاحَةِ الظَّهْرِ"".",أَرْكَاب,,0,True,False,True,False,0,1,True,True,True,قبل 150ق.هـ=476م,,2024-09-15T10:36:34.117+03:00,لفظ الشّاهد جمع (رُكُب) الّذي هو جمع (رَكُوب) فهو جمع الجمع. | من المحتمل أن التاريخ التقريبي لوفاة المستعمل هو: 202 ق.هـ = 426م
